Date,Close,Dif,Volume,Empresa,Symbol,target,moment,Action,coef_3,coef_7,coef_10,coef_15,coef_20,coef_30
2004-11-15,0.003546912487100961,0.01359645379610441,-0.11621676921926735,Apple,AAPL,0,hold,0,0.022907328963605797,0.053126236791954475,0.06905408309907857,0.0675439614706304,0.07402869065003642,0.08262604347937472
2004-11-16,0.0035216459651735356,0.018885826216337397,-0.3246111505085772,Apple,AAPL,0,hold,0,0.030378903484031883,0.05114081146905149,0.07180248628413385,0.0750172515478191,0.07571365705134601,0.08410048311960097
2004-11-17,0.0035182778241163288,0.020309508050609253,-0.06033351047584927,Apple,AAPL,0,hold,0,0.031030138836613926,0.05446446975711163,0.06975291529879393,0.08032108697208139,0.07863106195438391,0.08561831741666948
2004-11-18,0.003559541608671967,-0.007758250659894555,0.09774286951972243,Apple,AAPL,0,hold,0,0.026805605641053647,0.061704535407500476,0.07091526299982402,0.08318721360057442,0.08193347713799619,0.08841769036065895
2004-11-19,0.0035410176607358697,0.020918872930783306,0.8859044336238744,Apple,AAPL,0,hold,0,0.018195423342614266,0.06284808197441966,0.06983161668030709,0.08551453749011927,0.08620138097253309,0.09193176826985291
2004-11-22,0.004061433702062963,0.02356250818130954,5.527732844088513,Apple,AAPL,0,hold,0,0.029729393004367385,0.062405424262199645,0.07130007403160137,0.08890491619978594,0.0915220648713195,0.09657017678008956
2004-11-23,0.004054694770737216,0.03535984536335874,1.262236946451712,Apple,AAPL,0,hold,0,-0.07424038853110872,0.026830971007218613,0.05527268869082847,0.08038289406522996,0.09042246817372562,0.09842790341639772
2004-11-24,0.004288797628511056,-0.03358902408199743,2.496339994800942,Apple,AAPL,0,hold,0,0.027455882730903745,0.006276019863224816,0.04248065087506423,0.07049285274904452,0.08819139961362955,0.10038255936839681
2004-11-26,0.0043309048557245156,0.030681126925520854,0.3320171397265853,Apple,AAPL,1,sell,1,-0.019006188550039122,-0.01399811833214317,0.023916963282659402,0.0591153504558422,0.08190767442343781,0.09826435266834245
2004-11-29,0.0046584788434706585,0.024783407187183647,3.3256931146919735,Apple,AAPL,1,sell,1,0.018032710330741875,-0.017008482700880262,0.009868581401120267,0.04887445829673767,0.076270868577882,0.0963275596491996
2004-11-30,0.0045414274145837395,0.04980089640799793,1.5636403324246624,Apple,AAPL,1,sell,1,-0.03703820168081596,-0.023881540962571973,-0.008271105046002257,0.03524192909605309,0.06776094681424316,0.09145202467804542
2004-12-01,0.004603745475048942,0.014410772565470383,0.9767219379646356,Apple,AAPL,0,hold,0,0.04873685371201049,0.006567644244030665,-0.01050117412640696,0.02832967883401696,0.061464912759937124,0.0884928752263206
2004-12-02,0.00438647934874414,0.03312292690669557,1.45788602311533,Apple,AAPL,0,hold,0,0.014133730927290356,0.011983921422953394,-0.0053891170275923465,0.022190050051155184,0.05379003199914013,0.08589573285281654
2004-12-03,0.0041734320914855304,0.05203685068207708,2.105157183597015,Apple,AAPL,0,hold,0,0.06806980432758053,0.04582147227269589,0.01602522440295838,0.02280114512124707,0.05156391281255504,0.08539732893696264
2004-12-06,0.004434482395776941,-0.016708361005711415,2.1285139635671744,Apple,AAPL,0,hold,0,0.06725591984730835,0.08081330474564287,0.053961300595960965,0.029944673171552437,0.053129613000046046,0.08747561344168267
2004-12-07,0.004191114914823721,0.07623992148039177,1.6367095675411851,Apple,AAPL,0,hold,0,-0.024204763870458775,0.09234760930855372,0.06379272930042802,0.034191819849959816,0.05266102152252641,0.08826935688437272
