Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2009-08-26,11.656309127807615,11.690348307291666,0.11855602264404475,79810030,Google,GOOG,1,sell,1
2009-08-27,11.607990264892578,11.668181419372559,0.06276512145996271,80255695,Google,GOOG,0,hold,0
2009-08-28,11.575363159179688,11.613220850626627,0.11232852935791016,71129616,Google,GOOG,0,hold,0
2009-08-31,11.498649597167969,11.560667673746744,-0.046823501586912286,78609548,Google,GOOG,0,hold,0
2009-09-01,11.351451873779297,11.475154876708984,0.09763431549072266,104185053,Google,GOOG,0,hold,0
2009-09-02,11.282958984375,11.377686818440756,0.06998729705810369,72462593,Google,GOOG,0,hold,0
2009-09-03,11.395288467407228,11.343233108520508,-0.042342185974124646,66094814,Google,GOOG,0,hold,0
2009-09-04,11.489435195922852,11.389227549235025,-0.09290218353271484,60192775,Google,GOOG,0,hold,0
2009-09-08,11.422684669494627,11.435802777608236,0.14122104644775746,106666319,Google,GOOG,0,hold,0
2009-09-09,11.555935859680176,11.489351908365885,-0.12229156494140625,88145156,Google,GOOG,0,hold,0
2009-09-10,11.729535102844238,11.569385210673014,-0.10684967041015625,101764012,Google,GOOG,0,hold,0
2009-09-11,11.75942325592041,11.681631406148275,-0.043337821960450995,76401301,Google,GOOG,0,hold,0
2009-09-14,11.83364486694336,11.774201075236002,-0.11481952667236328,79324216,Google,GOOG,0,hold,0
2009-09-15,11.893918991088867,11.828995704650879,-0.06127071380615057,96283547,Google,GOOG,0,hold,0
2009-09-16,12.161664962768556,11.96307627360026,-0.21145725250244496,103799614,Google,GOOG,0,hold,0
2009-09-17,12.247095108032228,12.100893020629883,-0.028642654418948865,179996150,Google,GOOG,0,hold,0
2009-09-18,12.240618705749512,12.216459592183432,0.13225460052490234,131832295,Google,GOOG,0,hold,0
2009-09-21,12.378602027893066,12.288771947224935,-0.2306356430053711,84973311,Google,GOOG,1,sell,1
2009-09-22,12.429909706115724,12.3497101465861,0.046326637268062854,122103967,Google,GOOG,1,sell,1
2009-09-23,12.414965629577637,12.407825787862143,0.05778312683105469,108573440,Google,GOOG,1,sell,1
2009-09-24,12.372873306274414,12.405916213989258,0.09215450286865234,101482963,Google,GOOG,0,hold,0
2009-09-25,12.266023635864258,12.351287523905436,0.045081138610839844,82291296,Google,GOOG,0,hold,0
2009-09-28,12.416708946228027,12.351868629455566,-0.09190464019775568,73847766,Google,GOOG,0,hold,0
2009-09-29,12.416708946228027,12.366480509440104,0.02490711212158203,84282733,Google,GOOG,0,hold,0
2009-09-30,12.34995937347412,12.394459088643393,0.10336303710937678,126139035,Google,GOOG,0,hold,0
2009-10-01,12.134516716003418,12.300395011901855,0.1444578170776385,112949783,Google,GOOG,2,buy,1
2009-10-02,12.069260597229004,12.184578895568848,-0.020920753479003906,104421937,Google,GOOG,2,buy,1
2009-10-05,12.167393684387209,12.123723665873209,-0.021668434143068183,86105539,Google,GOOG,2,buy,1
2009-10-06,12.421939849853516,12.219531377156576,-0.17534255981445312,109701653,Google,GOOG,0,hold,0
2009-10-07,12.89018440246582,12.493172645568848,-0.46176910400390625,195698788,Google,GOOG,0,hold,0
2009-10-08,12.80649757385254,12.706207275390625,0.13424777984618963,172797268,Google,GOOG,0,hold,0
2009-10-09,12.858055114746094,12.851579030354818,0.009963035583496094,109934523,Google,GOOG,0,hold,0
2009-10-12,13.052078247070312,12.905543645222982,-0.015442848205566406,133386097,Google,GOOG,0,hold,0
2009-10-13,13.103633880615234,13.004589080810547,-0.04283905029296875,121951397,Google,GOOG,0,hold,0
2009-10-14,13.333024978637695,13.162912368774414,-0.07123279571533203,130824531,Google,GOOG,0,hold,0
2009-10-15,13.198280334472656,13.21164639790853,0.0956411361694336,244930632,Google,GOOG,0,hold,0
2009-10-16,13.694917678833008,13.408740997314453,-0.06276512145995916,355001664,Google,GOOG,0,hold,0
2009-10-19,13.75070858001709,13.547968864440918,0.014944076538085938,129198459,Google,GOOG,0,hold,0
2009-10-20,13.741494178771973,13.729040145874023,-0.0019931793212890625,162354271,Google,GOOG,0,hold,0
2009-10-21,13.726051330566406,13.739418029785156,-0.029639244079589844,147374332,Google,GOOG,0,hold,0
2009-10-22,13.800521850585938,13.756022453308105,-0.10186767578125,93810311,Google,GOOG,0,hold,0
2009-10-23,13.790559768676758,13.772377649943033,0.03885459899902166,96066737,Google,GOOG,0,hold,0
2009-10-26,13.803510665893556,13.798197428385416,0.0383567810058576,119261352,Google,GOOG,0,hold,0
2009-10-27,13.6560640335083,13.750044822692871,0.06674957275390803,129142249,Google,GOOG,0,hold,0
